brand,size,price,query,image,link
Polo Ralph Lauren,M,$30.00,vintage jacket,https://media-photos.depop.com/b1/219721204/3696843266_2aaa979c6b6a4c70a4d9725e95ab0beb/P0.jpg,https://www.depop.com/products/kazi_m6r-vintage-90s-pacific-trail-fleece-c157/
Gap,S,$24.00,vintage jacket,https://media-photos.depop.com/b1/358143124/3692446634_21a4b3da36ed4861bf48dc07ee23d39c/P0.jpg,https://www.depop.com/products/a0nsley_drew-vintage-gap-kids-red-carpenter-794d/
Other,XL,$25.00,vintage jacket,https://media-photos.depop.com/b1/38919629/3696903903_fd3ce4bf75eb4da48ebc645ff1b3fdca/P0.jpg,https://www.depop.com/products/byckyardwear-vintage-dodge-truckmaster-lightweight-bomber-d112/
Other,S,$25.00,vintage jacket,https://media-photos.depop.com/b1/20822607/3700518387_de5279b4581f4324a155e4951f070515/P0.jpg,https://www.depop.com/products/mineyrae__-tan-vintage-corduroy-jacket-with-9273/
Champion,M,$30.00,vintage jacket,https://media-photos.depop.com/b1/51507764/3695895355_5d97c1539d534dce9b1606cb01277abe/P0.jpg,https://www.depop.com/products/addisonzlarey-vintage-champion-detroit-pistons-black-c131/
Wet Seal,M,$50.00,vintage jacket,https://media-photos.depop.com/b1/47963866/3699514699_1f74131bc32f419c8be5878f1219ceb3/P0.jpg,https://www.depop.com/products/megrmooki-vintage-brown-leather-jacket-from-5df2/
Other,M,$23.00,vintage jacket,https://media-photos.depop.com/b1/387889528/3689301870_e0473de7e7a3495da8a92e84f94fb318/P0.jpg,https://www.depop.com/products/anja_bbndw-light-blue-denim-jacket-with-accf/
Sears,S,$80.00,vintage jacket,https://media-photos.depop.com/b1/19194804/3693206226_055e85b8b8224ae9b94aafff31ae63db/P0.jpg,https://www.depop.com/products/sounhside_vintage-vintage-tan-leather-sears-leather-c1d3/
American Vintage,XL,$16.00,y2k top,https://media-photos.depop.com/b1/15616549/3679856649_0a810ee822b54b12888248c20d2cecec/P0.jpg,https://www.depop.com/products/loveurclouetxo-y2k-green-and-navy-striped-ea30/
Other,S,$10.00,y2k top,https://media-photos.depop.com/b1/51828088/3681978223_8e9e21a934e84889b2107411c334567a/P0.jpg,https://www.depop.com/products/virtualangels5tg-super-cute-2000s-grunge-69a8/
